page	entries	image	volume	fix	frequency	check	books	accuracy	centurydictiona08whit_djvu.csv	frequency	image	centurydictionar08whit_djvu.csv	frequency	image	centurydictionar08whituoft_djvu.csv	frequency	image	centurydictionary08whit_djvu.csv	frequency	image	cu31924091890651_djvu.csv	frequency	image
6235	tent	38	8		5				tent	5	39	tent	5	39	tent	5	41	tent	5	39	tent	5	38
6236	tent-caterpillar	39	8		5				tent-caterpillar	5	40	tent-caterpillar	5	40	tent-caterpillar	5	42	tent-caterpillar	5	40	tent-caterpillar	5	39
6237	tentorial	40	8		4				tentorial	4	41	tentorial	4	41	tMitorial	1	43	tentorial	4	41	tentorial	4	40
6238	tepefaction	41	8		5				tepefaction	5	42	tepefaction	5	42	tepefaction	5	44	tepefaction	5	42	tepefaction	5	41
6239	terce	42	8		5				terce	5	43	terce	5	43	terce	5	45	terce	5	43	terce	5	42
6240	teredo	43	8		5				teredo	5	44	teredo	5	44	teredo	5	46	teredo	5	44	teredo	5	43
6241	term	44	8		5				term	5	45	term	5	45	term	5	47	term	5	45	term	5	44
6242	term	45	8		4				term	4	46	term	4	46	term	4	48	term	4	46	his	1	45
6243	Terminalia	46	8		3				Terminalia	3	47	Tenninalia	1	47	Terminalla	1	49	Terminalia	3	47	Terminalia	3	46
6244	termitine	47	8		3				termitine	3	48	termitine	3	48	termltiiie	1	50	temiitine	1	48	termitine	3	47
6245	the	48	8		1	tie			the	1	49	Ternstroemiacese	1	49	TernstroemiacesB	1	51	Ternstrcemiaceae	1	49	TemstroemiacesB	1	48
6246	terrse	49	8		3				terrse	3	50	terrae	2	50	terrse	3	52	terrae	2	50	terrse	3	49
6247	terrestrial	50	8		5				terrestrial	5	51	terrestrial	5	51	terrestrial	5	53	terrestrial	5	51	terrestrial	5	50
6248	territorial	51	8		5				territorial	5	52	territorial	5	52	territorial	5	54	territorial	5	52	territorial	5	51
6249	tertian	52	8		4				tertian	4	53	By	1	53	tertian	4	55	tertian	4	53	tertian	4	52
6250	Tessaila	53	8		1	tie			Tessaila	1	54	of	1	54	Tessaria	1	56	TaasarlA	1	54	Tessaiia	1	53
6251	test	54	8		5				test	5	55	test	5	55	test	5	57	test	5	55	test	5	54
6252	tester	55	8		4				tester	4	56	tester	4	56	tester	4	58	totter	1	56	tester	4	55
6253	testimony	56	8		5				testimony	5	57	testimony	5	57	testimony	5	59	testimony	5	57	testimony	5	56
6254	testudo	57	8		5				testudo	5	58	testudo	5	58	testudo	5	60	testudo	5	58	testudo	5	57
6255	tetrabranch	58	8		3				tetrabranch	3	59	tetrabranch	3	59	Pearly	2	61	tetrabranch	3	59	Pearly	2	58
6256	Tetradecapoda	59	8		5				Tetradecapoda	5	60	Tetradecapoda	5	60	Tetradecapoda	5	62	Tetradecapoda	5	60	Tetradecapoda	5	59
6257	tetrahedron	60	8		4				tetrahedron	4	61	tetrahedron	4	61	Tctra	1	63	tetrahedron	4	61	tetrahedron	4	60
6258	tetrapleural	61	8		4				tetrapleural	4	62	tetrapleural	4	62	tetrapleural	4	64	I	1	62	tetrapleural	4	61
6259	tetrasyllable	62	8		5				tetrasyllable	5	63	tetrasyllable	5	63	tetrasyllable	5	65	tetrasyllable	5	63	tetrasyllable	5	62
6260	teuthidoid	63	8		3				teuthidoid	3	64	render	1	64	teuthidoid	3	66	tenthidold	1	64	teuthidoid	3	63
6261	textile	64	8		4				textile	4	65	textile	4	65	teztUe	1	67	textile	4	65	textile	4	64
6262	-th	65	8		4				-th	4	66	-th	4	66	-th	4	68	r-nt	1	66	-th	4	65
6263	thalassographic	66	8		5				thalassographic	5	67	thalassographic	5	67	thalassographic	5	69	thalassographic	5	67	thalassographic	5	66
6264	Thanmobia	67	8		2	tie			Thanmobia	2	68	Thamnobia	2	68	Thamnobia	2	70	ThanmobiA	1	68	Thanmobia	2	67
6265	thank	68	8		5				thank	5	69	thank	5	69	thank	5	71	thank	5	69	thank	5	68
6266	Tharos	69	8		3				Tharos	3	70	Butterfly	1	70	Tharos	3	72	Thargelion	1	70	Tharos	3	69
6267	that	70	8		5				that	5	71	that	5	71	that	5	73	that	5	71	that	5	70
6268	thaiunaturgism	71	8		1	tie			thaiunaturgism	1	72	thaumaturgism	1	72	thanmattiTgism	1	74	thanmatorglsm	1	72	thaumaturgisin	1	71
6269	T-head	72	8		5				T-head	5	73	T-head	5	73	T-head	5	75	T-head	5	73	T-head	5	72
6270	theatromania	73	8		4				theatromania	4	74	theatromania	4	74	theatromania	4	76	T	1	74	theatromania	4	73
6271	theftuous	74	8		5				theftuous	5	75	theftuous	5	75	theftuous	5	77	theftuous	5	75	theftuous	5	74
6272	theme	75	8		5				theme	5	76	theme	5	76	theme	5	78	theme	5	76	theme	5	75
6273	theodicaea	76	8		3				theodicaea	3	77	theodicaea	3	77	theodicsea	2	79	theodicaea	3	77	theodicsea	2	76
6274	theologus	77	8		2	weak			theologuB	1	78	theologus	2	78	theologns	1	80	taeoiuK	1	78	theologus	2	77
6275	theorbo	78	8		4				theorbo	4	79	theorbo	4	79	theorbo	4	81	theorbo	4	79	tbeorbo	1	78
6276	theorem	79	8		4				theorem	4	80	theorem	4	80	theorem	4	82	thsoniB	1	80	theorem	4	79
6277	theorem	80	8		5				theorem	5	81	theorem	5	81	theorem	5	83	theorem	5	81	theorem	5	80
6278	theoricon	81	8		3				theoricon	3	82	theoricon	3	82	theorlcon	1	84	tbeoricon	1	82	theoricon	3	81
6279	theralite	82	8		5				theralite	5	83	theralite	5	83	theralite	5	85	theralite	5	83	theralite	5	82
6280	thereat	83	8		4				thereat	4	84	thereat	4	84	thereat	4	86	thorest	1	84	thereat	4	83
6281	thereupon	84	8		4				thereupon	4	85	thereupon	4	85	therenpon	1	87	thereupon	4	85	thereupon	4	84
6282	thermically	85	8		3				thermlcally	1	86	thermically	3	86	thermically	3	88	tbermlcAlly	1	86	thermically	3	85
6283	thermograph	86	8		4				thermograph	4	87	thermograph	4	87	I	1	89	thermograph	4	87	thermograph	4	86
6284	thermometer	87	8		3				thermometer	3	88	served	1	88	thermometer	3	90	thermomotar	1	88	thermometer	3	87
6285	thermotelephone	88	8		3				thennotelephone	1	89	tbermotelephone	1	89	thermotelephone	3	91	thermotelephone	3	89	thermotelephone	3	88
6286	Thespesia	89	8		4				Thespesia	4	90	Thespesia	4	90	Thespesia	4	92	ThoapeaU	1	90	Thespesia	4	89
6287	they	90	8		4				they	4	91	they	4	91	I	1	93	they	4	91	they	4	90
6288	thick	91	8		4				thick	4	92	thick	4	92	tUck	1	94	thick	4	92	thick	4	91
6289	thick-lipped	92	8		3				A	1	93	thick-lipped	3	93	I	1	95	thick-lipped	3	93	thick-lipped	3	92
6290	thlgger	93	8		2	weak			thlgger	2	94	thigger	1	94	thlgger	2	96	thiggor	1	94	tMgger	1	93
6291	thin	94	8		4				thin	4	95	thin	4	95	fhln	1	97	thin	4	95	thin	4	94
6292	thing	95	8		4				tMng	1	96	thing	4	96	thing	4	98	thing	4	96	thing	4	95
6293	think	96	8		5				think	5	97	think	5	97	think	5	99	think	5	97	think	5	96
6294	thio-ether	97	8		4				thio-ether	4	98	thio-ether	4	98	thio-ether	4	100	thlo-ether	1	98	thio-ether	4	97
6295	thirled	98	8		4				thirled	4	99	thirled	4	99	thirled	4	101	thirled	4	99	tbirled	1	98
6296	this	99	8		3				this	3	100	this	3	100	this	3	102	thU	1	100	tUs	1	99
6297	Reverse-	100	8		1	tie			Reverse-	1	101	Thistle-merk	1	101	Thtstle-merfc	1	103	Thistle-raerk	1	101	thistle-down	1	100
6298	thole	101	8		3				thole	3	102	thole	3	102	fhole	1	104	CSOft	1	102	thole	3	101
6299	thoracic	102	8		4				thoracic	4	103	nn	1	103	thoracic	4	105	thoracic	4	103	thoracic	4	102
6300	thorax	103	8		5				thorax	5	104	thorax	5	104	thorax	5	106	thorax	5	104	thorax	5	103
6301	thorn-broom	104	8		5				thorn-broom	5	105	thorn-broom	5	105	thorn-broom	5	107	thorn-broom	5	105	thorn-broom	5	104
6302	thoroughbred	105	8		2	tie			thoroughbred	2	106	It	1	106	thoroaghbred	2	108	thoroaghbred	2	106	thoroughbred	2	105
6303	thou	106	8		4				thou	4	107	thou	4	107	VhovL	1	109	thou	4	107	thou	4	106
6304	thoughtful	107	8		4				thoughtful	4	108	thoughtful	4	108	thoughtful	4	110	thoaghtfnl	1	108	thoughtful	4	107
6305	thrall	108	8		4				thrall	4	109	thrall	4	109	thraU	1	111	thrall	4	109	thrall	4	108
6306	thread	109	8		4				thread	4	110	thread	4	110	thread	4	112	thlMd	1	110	thread	4	109
6307	thread-tailed	110	8		5				thread-tailed	5	111	thread-tailed	5	111	thread-tailed	5	113	thread-tailed	5	111	thread-tailed	5	110
6308	three	111	8		4				three	4	112	three	4	112	three	4	114	fi	1	112	three	4	111
6309	three-quarter	112	8		4				three-CLuarter	1	113	three-quarter	4	113	three-quarter	4	115	three-quarter	4	113	three-quarter	4	112
6310	threshold	113	8		5				threshold	5	114	threshold	5	114	threshold	5	116	threshold	5	114	threshold	5	113
6311	thrill	114	8		3				thrill	3	115	thrill	3	115	ft	1	117	I	1	115	thrill	3	114
6312	thriving	115	8		4				tliriviiig	1	116	thriving	4	116	thriving	4	118	thriving	4	116	thriving	4	115
6313	throe	116	8		3				throe	3	117	throe	3	117	f	1	119	i	1	117	throe	3	116
6314	throstle	117	8		3				throstle	3	118	throstle	3	118	throstle	3	120	for	1	118	tlirostle	1	117
6315	through-going	118	8		5				through-going	5	119	through-going	5	119	through-going	5	121	through-going	5	119	through-going	5	118
6316	throw	119	8		4				throw	4	120	throw	4	120	tiirow	1	122	throw	4	120	throw	4	119
6317	thrum	120	8		3				thrum	3	121	thrum	3	121	thnun	1	123	thrum	3	121	tlmin	1	120
6318	thrust	121	8		4				thrust	4	122	thrust	4	122	thrust	4	124	tliruBt	1	122	thrust	4	121
6319	thug	122	8		4				thug	4	123	thug	4	123	ttang	1	125	thug	4	123	thug	4	122
6320	thume	123	8		4				thume	4	124	thume	4	124	thume	4	126	thnme	1	124	thume	4	123
6321	thunderbolt	124	8		3				thunderbolt	3	125	thnnderbolt	1	125	thunderbolt	3	127	thunderbolt	3	125	tbnnderbolt	1	124
6322	thnnder-stroke	125	8		1	tie			thnnder-stroke	1	126	struck	1	126	thnnder-Btroke	1	128	thunder-stroke	1	126	tbtinder-stroke	1	125
6323	thussock	126	8		3				thussock	3	127	thussock	3	127	ons	1	129	thussock	3	127	thuBsock	1	126
6324	thwart	127	8		5				thwart	5	128	thwart	5	128	thwart	5	130	thwart	5	128	thwart	5	127
6325	thymic	128	8		5				thymic	5	129	thymic	5	129	thymic	5	131	thymic	5	129	thymic	5	128
6326	Thysanocarpus	129	8		4				Thysanocarpus	4	130	Thysanocarpus	4	130	Thysanocarpus	4	132	Thysanocarpns	1	130	Thysanocarpus	4	129
6327	tibiale	130	8		5				tibiale	5	131	tibiale	5	131	tibiale	5	133	tibiale	5	131	tibiale	5	130
6328	tick	131	8		5				tick	5	132	tick	5	132	tick	5	134	tick	5	132	tick	5	131
6329	tickle	132	8		5				tickle	5	133	tickle	5	133	tickle	5	135	tickle	5	133	tickle	5	132
6330	tidal	133	8		4				tidal	4	134	tidal	4	134	tidal	4	136	H--if	1	134	tidal	4	133
6331	tide-gate	134	8		5				tide-gate	5	135	tide-gate	5	135	tide-gate	5	137	tide-gate	5	135	tide-gate	5	134
6332	tie	135	8		5				tie	5	136	tie	5	136	tie	5	138	tie	5	136	tie	5	135
6333	tierras	136	8		4				tierras	4	137	tlerras	1	137	tierras	4	139	tierras	4	137	tierras	4	136
6334	tiger	137	8		4				tiger	4	138	tiger	4	138	tiger	4	140	thr	1	138	tiger	4	137
6335	tight	138	8		5				tight	5	139	tight	5	139	tight	5	141	tight	5	139	tight	5	138
6336	tile	139	8		4				tile	4	140	tile	4	140	tile	4	142	tUe	1	140	tile	4	139
6337	Tilia	140	8		3				Tilia	3	141	Tllia	1	141	TlUa	1	143	Tilia	3	141	Tilia	3	140
6338	Tillandsia	141	8		5				Tillandsia	5	142	Tillandsia	5	142	Tillandsia	5	144	Tillandsia	5	142	Tillandsia	5	141
6339	tilt	142	8		4				tilt	4	143	tilt	4	143	tut	1	145	tilt	4	143	tilt	4	142
6340	timber	143	8		5				timber	5	144	timber	5	144	timber	5	146	timber	5	144	timber	5	143
6341	time	144	8		5				time	5	145	time	5	145	time	5	147	time	5	145	time	5	144
6342	time	145	8		5				time	5	146	time	5	146	time	5	148	time	5	146	time	5	145
6343	timely	146	8		5				timely	5	147	timely	5	147	timely	5	149	timely	5	147	timely	5	146
6344	Flowering	147	8		3				Flowering	3	148	Flowering	3	148	Flowering	3	150	IMant	1	148	Timothean	1	147
6345	tinchel	148	8		5				tinchel	5	149	tinchel	5	149	tinchel	5	151	tinchel	5	149	tinchel	5	148
6346	tinder-like	149	8		5				tinder-like	5	150	tinder-like	5	150	tinder-like	5	152	tinder-like	5	150	tinder-like	5	149
6347	Tingitidae	150	8		4				Tingitidae	4	151	Tingitidae	4	151	Tingitidae	4	153	Tingitidae	4	151	Tingitidse	1	150
6348	tinning-metal	151	8		3				tinning-metal	3	152	tinning-metal	3	152	tinning-metal	3	154	tinnlng-metal	1	152	tiiming-metal	1	151
6349	tintamar	152	8		5				tintamar	5	153	tintamar	5	153	tintamar	5	155	tintamar	5	153	tintamar	5	152
6350	tip	153	8		5				tip	5	154	tip	5	154	tip	5	156	tip	5	154	tip	5	153
6351	tipple	154	8		5				tipple	5	155	tipple	5	155	tipple	5	157	tipple	5	155	tipple	5	154
6352	tirailleur	155	8		4				tirailleur	4	156	tirailleur	4	156	tirailleur	4	158	tlraillenr	1	156	tirailleur	4	155
6353	tiresol	156	8		5				tiresol	5	157	tiresol	5	157	tiresol	5	159	tiresol	5	157	tiresol	5	156
6354	tissue	157	8		4				tissue	4	158	tissue	4	158	tissue	4	160	tlBfiue	1	158	tissue	4	157
6355	Titan	158	8		5				Titan	5	159	Titan	5	159	Titan	5	161	Titan	5	159	Titan	5	158
6356	tithe	159	8		4				tithe	4	160	tithe	4	160	tithe	4	162	title	1	160	tithe	4	159
6357	title	160	8		5				title	5	161	title	5	161	title	5	163	title	5	161	title	5	160
6358	titration	161	8		5				titration	5	162	titration	5	162	titration	5	164	titration	5	162	titration	5	161
6359	Tityra	162	8		4				Titjnra	1	163	Tityra	4	163	Tityra	4	165	Tityra	4	163	Tityra	4	162
6360	to	163	8		5				to	5	164	to	5	164	to	5	166	to	5	164	to	5	163
6361	toad-eater	164	8		5				toad-eater	5	165	toad-eater	5	165	toad-eater	5	167	toad-eater	5	165	toad-eater	5	164
6362	toast	165	8		5				toast	5	166	toast	5	166	toast	5	168	toast	5	166	toast	5	165
6363	tobacco-knife	166	8		5				tobacco-knife	5	167	tobacco-knife	5	167	tobacco-knife	5	169	tobacco-knife	5	167	tobacco-knife	5	166
6364	tocher	167	8		5				tocher	5	168	tocher	5	168	tocher	5	170	tocher	5	168	tocher	5	167
6365	todlowrey	168	8		5				todlowrey	5	169	todlowrey	5	169	todlowrey	5	171	todlowrey	5	169	todlowrey	5	168
6366	toft	169	8		5				toft	5	170	toft	5	170	toft	5	172	toft	5	170	toft	5	169
6367	toggle-press	170	8		5				toggle-press	5	171	toggle-press	5	171	toggle-press	5	173	toggle-press	5	171	toggle-press	5	170
6368	toilette	171	8		5				toilette	5	172	toilette	5	172	toilette	5	174	toilette	5	172	toilette	5	171
6369	tola	172	8		5				tola	5	173	tola	5	173	tola	5	175	tola	5	173	tola	5	172
6370	toll	173	8		3				toll	3	174	toll	3	174	toU	2	176	toU	2	174	toll	3	173
6371	toll-man	174	8		5				toll-man	5	175	toll-man	5	175	toll-man	5	177	toll-man	5	175	toll-man	5	174
6372	tomato-gall	175	8		5				tomato-gall	5	176	tomato-gall	5	176	tomato-gall	5	178	tomato-gall	5	176	tomato-gall	5	175
6373	tomfool	176	8		5				tomfool	5	177	tomfool	5	177	tomfool	5	179	tomfool	5	177	tomfool	5	176
6374	tonal	177	8		4				tonal	4	178	tonal	4	178	tonal	4	180	with	1	178	tonal	4	177
6375	tone	178	8		4				tone	4	179	tone	4	179	tone	4	181	tone	4	179	crucible-tonffs	1	178
6376	tongue	179	8		4				tongue	4	180	tongue	4	180	tongue	4	182	nniiu-	1	180	tongue	4	179
6377	tongued	180	8		5				tongued	5	181	tongued	5	181	tongued	5	183	tongued	5	181	tongued	5	180
6378	tonic	181	8		5				tonic	5	182	tonic	5	182	tonic	5	184	tonic	5	182	tonic	5	181
6379	tonsil	182	8		4				tonsil	4	183	tonsil	4	183	k	1	185	tonsil	4	183	tonsil	4	182
6380	tool	183	8		4				t	1	184	tool	4	184	tool	4	186	tool	4	184	tool	4	183
6381	toot	184	8		5				toot	5	185	toot	5	185	toot	5	187	toot	5	185	toot	5	184
6382	tooth	185	8		3				tooth	3	186	Wisdom	1	186	tootb	1	188	tooth	3	186	tooth	3	185
6383	Tooth	186	8		2	tie			Tooth	2	187	Lincoln	1	187	Tooth	2	189	tooth-net	2	187	tooth-net	2	186
6384	top	187	8		5				top	5	188	top	5	188	top	5	190	top	5	188	top	5	187
6385	toparchy	188	8		3				topaxchy	1	189	toparchy	3	189	toparchy	3	191	I	1	189	toparchy	3	188
6386	topgallant	189	8		5				topgallant	5	190	topgallant	5	190	topgallant	5	192	topgallant	5	190	topgallant	5	189
6387	topmast	190	8		5				topmast	5	191	topmast	5	191	topmast	5	193	topmast	5	191	topmast	5	190
6388	topsail	191	8		5				topsail	5	192	topsail	5	192	topsail	5	194	topsail	5	192	topsail	5	191
6389	topsyturvyfication	192	8		3				topsyturvyfication	3	193	topsyturvyfication	3	193	topsytnrvyfication	1	195	topsyturvyfication	3	193	topsytnrvyficatdon	1	192
6390	torcular	193	8		3				torcular	3	194	torcular	3	194	torcnlar	2	196	torcnlar	2	194	torcular	3	193
6391	tormentil	194	8		5				tormentil	5	195	tormentil	5	195	tormentil	5	197	tormentil	5	195	tormentil	5	194
6392	torpedo	195	8		5				torpedo	5	196	torpedo	5	196	torpedo	5	198	torpedo	5	196	torpedo	5	195
6393	torpor	196	8		5				torpor	5	197	torpor	5	197	torpor	5	199	torpor	5	197	torpor	5	196
6394	torrid	197	8		3				torrid	3	198	White-CTub	1	198	torrid	3	200	uSi'a	1	198	torrid	3	197
6395	tortile	198	8		4				tortile	4	199	tortile	4	199	I	1	201	tortile	4	199	tortile	4	198
6396	tortuosity	199	8		5				tortuosity	5	200	tortuosity	5	200	tortuosity	5	202	tortuosity	5	200	tortuosity	5	199
6397	tory	200	8		5				tory	5	201	tory	5	201	tory	5	203	tory	5	201	tory	5	200
6398	toss	201	8		5				toss	5	202	toss	5	202	toss	5	204	toss	5	202	toss	5	201
6399	totalization	202	8		5				totalization	5	203	totalization	5	203	totalization	5	205	totalization	5	203	totalization	5	202
6400	totipalmation	203	8		5				totipalmation	5	204	totipalmation	5	204	totipalmation	5	206	totipalmation	5	204	totipalmation	5	203
6401	touch	204	8		4				touch	4	205	touch	4	205	toach	1	207	touch	4	205	touch	4	204
6402	touch	205	8		5				touch	5	206	touch	5	206	touch	5	208	touch	5	206	touch	5	205
6403	touchstone	206	8		5				touchstone	5	207	touchstone	5	207	touchstone	5	209	touchstone	5	207	touchstone	5	206
6404	tourmalin-granite	207	8		2	weak			toonaaiin-granite	1	208	tourmalin-granite	2	208	tourmalin-granite	2	210	Au	1	208	tourmalm-gTanite	1	207
6405	touzle	208	8		3				touzle	3	209	toozle	1	209	tonzle	1	211	touzle	3	209	touzle	3	208
6406	tower	209	8		4				tower	4	210	tower	4	210	tower	4	212	towor	1	210	tower	4	209
6407	to	210	8		3				to	3	211	to	3	211	to	3	213	towing-net	1	211	Same	1	210
6408	towse	211	8		5				towse	5	212	towse	5	212	towse	5	214	towse	5	212	towse	5	211
6409	toy	212	8		5				toy	5	213	toy	5	213	toy	5	215	toy	5	213	toy	5	212
6410	trace	213	8		5				trace	5	214	trace	5	214	trace	5	216	trace	5	214	trace	5	213
6411	trachea	214	8		5				trachea	5	215	trachea	5	215	trachea	5	217	trachea	5	215	trachea	5	214
6412	trachelo-occipltalis	215	8		2	weak			tracbelo-occipitalis	1	216	trachelo-occipitalls	1	216	trachelo-occipitalis	1	218	trachelo-occipltalis	2	216	trachelo-occipltalis	2	215
6413	Trachynotus	216	8		5				Trachynotus	5	217	Trachynotus	5	217	Trachynotus	5	219	Trachynotus	5	217	Trachynotus	5	216
6414	tracker	217	8		5				tracker	5	218	tracker	5	218	tracker	5	220	tracker	5	218	tracker	5	217
6415	Tractarian	218	8		5				Tractarian	5	219	Tractarian	5	219	Tractarian	5	221	Tractarian	5	219	Tractarian	5	218
6416	trade	219	8		5				trade	5	220	trade	5	220	trade	5	222	trade	5	220	trade	5	219
6417	trade-unionism	220	8		4				trade-unionism	4	221	trade-unionism	4	221	trade-Tmionism	1	223	trade-unionism	4	221	trade-unionism	4	220
6418	traditor	221	8		4				traditor	4	222	traditor	4	222	traditor	4	224	tradltor	1	222	traditor	4	221
6419	tragacantha	222	8		4				tragacantha	4	223	tragacantha	4	223	I	1	225	tragacantha	4	223	tragacantha	4	222
6420	tragopan	223	8		5				tragopan	5	224	tragopan	5	224	tragopan	5	226	tragopan	5	224	tragopan	5	223
6421	trail	224	8		5				trail	5	225	trail	5	225	trail	5	227	trail	5	225	trail	5	224
6422	train	225	8		5				train	5	226	train	5	226	train	5	228	train	5	226	train	5	225
6423	train-oil	226	8		5				train-oil	5	227	train-oil	5	227	train-oil	5	229	train-oil	5	227	train-oil	5	226
6424	tralucency	227	8		5				tralucency	5	228	tralucency	5	228	tralucency	5	230	tralucency	5	228	tralucency	5	227
6425	tramp	228	8		5				tramp	5	229	tramp	5	229	tramp	5	231	tramp	5	229	tramp	5	228
6426	trankum	229	8		2	tie			trankum	2	230	trankum	2	230	tranknm	2	232	tranknin	1	230	tranknm	2	229
6427	transcendent	230	8		4				transcendent	4	231	transcendent	4	231	b	1	233	transcendent	4	231	transcendent	4	230
6428	transcriptive	231	8		4				transcriptive	4	232	transcriptive	4	232	transcriptive	4	234	transcriptlve	1	232	transcriptive	4	231
6429	transfer-day	232	8		5				transfer-day	5	233	transfer-day	5	233	transfer-day	5	235	transfer-day	5	233	transfer-day	5	232
6430	transformable	233	8		5				transformable	5	234	transformable	5	234	transformable	5	236	transformable	5	234	transformable	5	233
6431	transfimd	234	8		3				transfund	2	235	transfimd	3	235	transfimd	3	237	transfimd	3	235	transfund	2	234
6432	transilient	235	8		4				transilient	4	236	transilient	4	236	transilient	4	238	translllent	1	236	transilient	4	235
6433	transitionary	236	8		4				transitionary	4	237	transitionary	4	237	transitioiiary	1	239	transitionary	4	237	transitionary	4	236
6434	translation	237	8		5				translation	5	238	translation	5	238	translation	5	240	translation	5	238	translation	5	237
6435	transmigration	238	8		5				transmigration	5	239	transmigration	5	239	transmigration	5	241	transmigration	5	239	transmigration	5	238
6436	transmute	239	8		4				transmute	4	240	transmute	4	240	transmute	4	242	transmnte	1	240	transmute	4	239
6437	transpassable	240	8		4				transpassable	4	241	transpassable	4	241	transpassable	4	243	transpassable	4	241	transpassaMe	1	240
6438	transpontine	241	8		3				luvolving	1	242	transpontine	3	242	transpontine	3	244	transpontise	1	242	transpontine	3	241
6439	transposition	242	8		4				transposition	4	243	transposition	4	243	transposition	4	245	transposition	4	243	transrotatory	1	242
6440	transvase	243	8		5				transvase	5	244	transvase	5	244	transvase	5	246	transvase	5	244	transvase	5	243
6441	transversus	244	8		5				transversus	5	245	transversus	5	245	transversus	5	247	transversus	5	245	transversus	5	244
6442	trap	245	8		4				trap	4	246	Trapa	1	246	trap	4	248	trap	4	246	trap	4	245
6443	trapezoidiform	246	8		4				Caparisons	1	247	trapezoidiform	4	247	trapezoidiform	4	249	trapezoidiform	4	247	trapezoidiform	4	246
6444	trashily	247	8		4				trashily	4	248	trashily	4	248	trashily	4	250	trasMly	1	248	trashily	4	247
6445	travel	248	8		5				travel	5	249	travel	5	249	travel	5	251	travel	5	249	travel	5	248
6446	traverse	249	8		5				traverse	5	250	traverse	5	250	traverse	5	252	traverse	5	250	traverse	5	249
6447	travertin	250	8		4				travertin	4	251	travertin	4	251	travertia	1	253	travertin	4	251	travertin	4	250
6448	treacher	251	8		5				treacher	5	252	treacher	5	252	treacher	5	254	treacher	5	252	treacher	5	251
