page	entries	image	volume	fix	frequency	check	books	accuracy	centurydictiona06whit_djvu.csv	frequency	image	centurydictionar06whit_djvu.csv	frequency	image	centurydictionar06whituoft_djvu.csv	frequency	image	cu31924091890636_djvu.csv	frequency	image
4499	Pinicola	74	6		3				Pinicola	3	75	Pinicola	3	75	Pinicola	3	77	lit	1	74
4500	pink	75	6		3				pink	3	76	pink	3	76	pinnace	1	78	pink	3	75
4501	pinnace	76	6		4				pinnace	4	77	pinnace	4	77	pinnace	4	79	pinnace	4	76
4502	pinnitarsal	77	6		1	tie			pinni	1	78	pinnitarsal	1	78	pinnltarsal	1	80	pinnitaxsal	1	77
4503	Pinus	78	6		2	weak			Pinus	2	79	Pinus	2	79	Piims	1	81	PinnB	1	78
4504	Pipa	79	6		1	tie			Plpa	1	80	Pipa	1	80	Tipa	1	82	Fipa	1	79
4505	pipe	80	6		4				pipe	4	81	pipe	4	81	pipe	4	83	pipe	4	80
4506	Piperaceae	81	6		3				Piperaceae	3	82	Piperaceae	3	82	Piperacese	1	84	Piperaceae	3	81
4507	piping	82	6		4				piping	4	83	piping	4	83	piping	4	85	piping	4	82
4508	Pipunculidae	83	6		3				Pipunculidae	3	84	Pipunculidx	1	84	Pipunculidae	3	86	Pipunculidae	3	83
4509	pirate	84	6		4				pirate	4	85	pirate	4	85	pirate	4	87	pirate	4	84
4510	piscatrix	85	6		4				piscatrix	4	86	piscatrix	4	86	piscatrix	4	88	piscatrix	4	85
4511	Ptsolitic	86	6		1	tie			pismire	1	87	Ptsolitic	1	87	pisnuie	1	89	Fisolidc	1	86
4512	pistillidium	87	6		3				pistillidium	3	88	pistillidium	3	88	pistillidinm	1	90	pistillidium	3	87
4513	piston-sleeve	88	6		3				piston-sleeve	3	89	piston-sleeve	3	89	piston-sleeye	1	91	piston-sleeve	3	88
4514	pitapat	89	6		4				pitapat	4	90	pitapat	4	90	pitapat	4	92	pitapat	4	89
4515	pitch	90	6		3				pitch	3	91	pitch	3	91	pitch	3	93	pitcn	1	90
4516	pltching-tool	91	6		1	tie			pltcliing-tool	1	92	pltching-tool	1	92	pitching-tool	1	94	pitcbing-tool	1	91
4517	pithecoid	92	6		2	weak			pithecoitt	1	93	pithecoid	2	93	pithecola	1	95	pithecoid	2	92
4518	pit-saw	93	6		3				handles	1	94	pit-saw	3	94	pit-saw	3	96	pit-saw	3	93
4519	pit-wood	94	6		4				pit-wood	4	95	pit-wood	4	95	pit-wood	4	97	pit-wood	4	94
4520	pixy-wheel	95	6		4				pixy-wheel	4	96	pixy-wheel	4	96	pixy-wheel	4	98	pixy-wheel	4	95
4521	place	96	6		3				place	3	97	place	3	97	pUce	1	99	place	3	96
4522	placentalian	97	6		4				placentalian	4	98	placentalian	4	98	placentalian	4	100	placentalian	4	97
4523	Placoidea	98	6		4				Placoidea	4	99	Placoidea	4	99	Placoidea	4	101	Placoidea	4	98
4524	Plagiostoma	99	6		2	tie			Plagiostoma	2	100	Plagiostoma	2	100	Flagiostoma	2	102	Flagiostoma	2	99
4525	plaiding	100	6		4				plaiding	4	101	plaiding	4	101	plaiding	4	103	plaiding	4	100
4526	plainly	101	6		4				plainly	4	102	plainly	4	102	plainly	4	104	plainly	4	101
4527	plan	102	6		4				plan	4	103	plan	4	103	plan	4	105	plan	4	102
4528	plane	103	6		4				plane	4	104	plane	4	104	plane	4	106	plane	4	103
4529	plane-table	104	6		4				plane-table	4	105	plane-table	4	105	plane-table	4	107	plane-table	4	104
4530	planimeter	105	6		4				planimeter	4	106	planimeter	4	106	planimeter	4	108	planimeter	4	105
4531	Planorbis	106	6		2	weak			Planorbis	2	107	Pltitiofbis	1	107	in	1	109	Planorbis	2	106
4532	Flantagines	107	6		2	weak			Flantaginese	1	108	Plantagineae	1	108	Flantagines	2	110	Flantagines	2	107
4533	planter	108	6		3				planter	3	109	planter	3	109	I	1	111	planter	3	108
4534	plash	109	6		3				plash	3	110	plash	3	110	plasb	1	112	plash	3	109
4535	plaster	110	6		4				plaster	4	111	plaster	4	111	plaster	4	113	plaster	4	110
4536	plastron	111	6		2	tie			plastron	2	112	plastron	2	112	Plastron	2	114	Plastron	2	111
4537	Sea-bat	112	6		2	tie			Platanistidae	2	113	Sea-bat	2	113	Sea-bat	2	115	Platanistidae	2	112
4538	plate	113	6		4				plate	4	114	plate	4	114	plate	4	116	plate	4	113
4539	plater	114	6		4				plater	4	115	plater	4	115	plater	4	117	plater	4	114
4540	platin	115	6		4				platin	4	116	platin	4	116	platin	4	118	platin	4	115
4541	Flatonist	116	6		2	weak			Platonist	1	117	Flatonist	2	117	Flatonlst	1	119	Flatonist	2	116
4542	Platycrinus	117	6		2	weak			Platycrinus	2	118	Platycrinus	2	118	Platycrinns	1	120	Flatycrinus	1	117
4543	platyphylline	118	6		4				platyphylline	4	119	platyphylline	4	119	platyphylline	4	121	platyphylline	4	118
4544	plaudit	119	6		3				plaudit	3	120	plaudit	3	120	plaadit	1	122	plaudit	3	119
4545	play	120	6		4				play	4	121	play	4	121	play	4	123	play	4	120
4546	play	121	6		4				play	4	122	play	4	122	play	4	124	play	4	121
4547	plea	122	6		4				plea	4	123	plea	4	123	plea	4	125	plea	4	122
4548	pleasance	123	6		4				pleasance	4	124	pleasance	4	124	pleasance	4	126	pleasance	4	123
4549	pleasing	124	6		3				pleasing	3	125	pleasing	3	125	pleMlng	1	127	pleasing	3	124
4550	plebiscitary	125	6		4				plebiscitary	4	126	plebiscitary	4	126	plebiscitary	4	128	plebiscitary	4	125
4551	plectrum	126	6		2	weak			plectrum	2	127	plectrum	2	127	ploctmn	1	129	pleclnim	1	126
4552	pleiophylly	127	6		4				pleiophylly	4	128	pleiophylly	4	128	pleiophylly	4	130	pleiophylly	4	127
4553	plentiful	128	6		4				plentiful	4	129	plentiful	4	129	plentiful	4	131	plentiful	4	128
4554	plerome	129	6		4				plerome	4	130	plerome	4	130	plerome	4	132	plerome	4	129
4555	Pleuracanthidae	130	6		1	tie			Pleuracanthidse	1	131	Pleuracanthidae	1	131	Plenracanthldse	1	133	Pleuracanttaidse	1	130
4556	Pleurodeles	131	6		3				Pleurodeles	3	132	Pleurodeles	3	132	Plenrodeles	1	134	Pleurodeles	3	131
4557	Pleuroptera	132	6		2	tie			Pleuroptera	2	133	Pleuroptera	2	133	Plenroptera	2	135	Plenroptera	2	132
4558	plexus	133	6		3				plexus	3	134	plexus	3	134	plexns	1	136	plexus	3	133
4559	pliant	134	6		4				pliant	4	135	pliant	4	135	pliant	4	137	pliant	4	134
4560	plight	135	6		4				plight	4	136	plight	4	136	plight	4	138	plight	4	135
4561	Plombee	136	6		1	tie			Plonibee	1	137	Plombee	1	137	plodder	1	139	middle	1	136
4562	plounce	137	6		2	tie			ploonce	2	138	plounce	2	138	ploonce	2	140	plounce	2	137
4563	plow	138	6		4				plow	4	139	plow	4	139	plow	4	141	plow	4	138
4564	plow-witcher	139	6		2	weak			plow-witcher	2	140	plow-witcher	2	140	One	1	142	plow-yritcher	1	139
4565	plug	140	6		4				plug	4	141	plug	4	141	plug	4	143	plug	4	140
4566	plum	141	6		3				plum	3	142	plum	3	142	plTun	1	144	plum	3	141
4567	plumbing	142	6		3				plumbing	3	143	plumbing	3	143	plombing	1	145	plumbing	3	142
4568	plum-gouger	143	6		3				plum-gouger	3	144	plum-gouger	3	144	plnm-gotiger	1	146	plum-gouger	3	143
4569	Plumstead	144	6		2	weak			Plutnularia	1	145	Plumstead	2	145	FtmmmiariM	1	147	Plumstead	2	144
4570	plunger	145	6		3				plTinger	1	146	plunger	3	146	plunger	3	148	plunger	3	145
4571	pluriseriate	146	6		4				pluriseriate	4	147	pluriseriate	4	147	pluriseriate	4	149	pluriseriate	4	146
4572	plutocrat	147	6		4				plutocrat	4	148	plutocrat	4	148	plutocrat	4	150	plutocrat	4	147
4573	ply	148	6		4				ply	4	149	ply	4	149	ply	4	151	ply	4	148
4574	pneumatic	149	6		2	weak			pneumatic	2	150	pneumatic	2	150	pnenmatic	1	152	pneninatic	1	149
4575	Same	150	6		1	tie			pneumology	1	151	Same	1	151	pnemnology	1	153	pneomology	1	150
4576	poacb	151	6		2	weak			poaci	1	152	poach	1	152	poacb	2	154	poacb	2	151
4577	pocket-drop	152	6		4				pocket-drop	4	153	pocket-drop	4	153	pocket-drop	4	155	pocket-drop	4	152
4578	More-pork	153	6		3				Podalyrieae	1	154	More-pork	3	154	More-pork	3	156	More-pork	3	153
4579	pod-lover	154	6		4				pod-lover	4	155	pod-lover	4	155	pod-lover	4	157	pod-lover	4	154
4580	Podostemon	155	6		3				Podostemon	3	156	Podostemon	3	156	Podostemon	3	158	Fodostemon	1	155
4581	poet	156	6		4				poet	4	157	poet	4	157	poet	4	159	poet	4	156
4582	Pogonorhynchus	157	6		1	tie			Pogostemon	1	158	Pogonorhynchus	1	158	Poeonorhynchtts	1	160	Pogonorkynchus	1	157
4583	point	158	6		4				point	4	159	point	4	159	point	4	161	point	4	158
4584	point	159	6		4				point	4	160	point	4	160	point	4	162	point	4	159
4585	point	160	6		3				point	3	161	point	3	161	What	1	163	point	3	160
4586	pointed	161	6		4				pointed	4	162	pointed	4	162	pointed	4	164	pointed	4	161
4587	poise	162	6		4				poise	4	163	poise	4	163	poise	4	165	poise	4	162
4588	poison-sumac	163	6		4				poison-sumac	4	164	poison-sumac	4	164	poison-sumac	4	166	poison-sumac	4	163
4589	poker-picture	164	6		3				poker-picture	3	165	poker-picture	3	165	i	1	167	poker-picture	3	164
4590	polariscopy	165	6		4				polariscopy	4	166	polariscopy	4	166	polariscopy	4	168	polariscopy	4	165
4591	pole	166	6		4				pole	4	167	pole	4	167	pole	4	169	pole	4	166
4592	polenta	167	6		4				polenta	4	168	polenta	4	168	polenta	4	170	polenta	4	167
4593	policial	168	6		4				policial	4	169	policial	4	169	policial	4	171	policial	4	168
4594	polish	169	6		3				polish	3	170	polisli	1	170	polish	3	172	polish	3	169
4595	polite	170	6		3				polite	3	171	polite	3	171	poUte	1	173	polite	3	170
4596	politician	171	6		3				ins	1	172	politician	3	172	politician	3	174	politician	3	171
4597	poll	172	6		3				poll	3	173	poll	3	173	poU	1	175	poll	3	172
4598	poUex	173	6		2	weak			poUex	2	174	poUex	2	174	pollex	1	176	poUez	1	173
4599	Polonese	174	6		3				Polonese	3	175	Polonese	3	175	Polonese	3	177	Folonese	1	174
4600	polyarchy	175	6		4				polyarchy	4	176	polyarchy	4	176	polyarchy	4	178	polyarchy	4	175
4601	polychromatic	176	6		4				polychromatic	4	177	polychromatic	4	177	polychromatic	4	179	polychromatic	4	176
4602	Polyergus	177	6		3				Polyergus	3	178	Polyergus	3	178	Polyergns	1	180	Polyergus	3	177
4603	polygeny	178	6		3				polygeny-	1	179	polygeny	3	179	polygeny	3	181	polygeny	3	178
4604	polygyn	179	6		3				polygyn	3	180	polygyn	3	180	polysya	1	182	polygyn	3	179
4605	polymerization	180	6		3				polymerization	3	181	polymerization	3	181	I	1	183	polymerization	3	180
4606	polynia	181	6		2	weak			polynia	2	182	from	1	182	polynia	2	184	open	1	181
4607	polypharmacy	182	6		3				polypharmacy	3	183	polypharmacy	3	183	polypbarmacy	1	185	polypharmacy	3	182
4608	Polyplacophora	183	6		2	tie			Polyplacophora	2	184	Polyplacophora	2	184	Folyplacophora	2	186	Folyplacophora	2	183
4609	polypragmatic	184	6		3				polypragmatic	3	185	of	1	185	polypragmatic	3	187	polypragmatic	3	184
4610	Polystoma	185	6		2	tie			Polystoma	2	186	Polystoma	2	186	Folystoma	2	188	Folystoma	2	185
4611	polytocous	186	6		4				polytocous	4	187	polytocous	4	187	polytocous	4	189	polytocous	4	186
4612	Pomacentridse	187	6		2	weak			Pomacentridse	2	188	Pomacentridse	2	188	Pomacentridae	1	190	Fomacentridse	1	187
4613	pomegranate	188	6		4				pomegranate	4	189	pomegranate	4	189	pomegranate	4	191	pomegranate	4	188
4614	pommetty	189	6		4				pommetty	4	190	pommetty	4	190	pommetty	4	192	pommetty	4	189
4615	pomposo	190	6		4				pomposo	4	191	pomposo	4	191	pomposo	4	193	pomposo	4	190
4616	ponderous	191	6		4				ponderous	4	192	ponderous	4	192	ponderous	4	194	ponderous	4	191
4617	Pontederia	192	6		3				Pontederia	3	193	Pontederia	3	193	Pontederia	3	195	Fontederia	1	192
4618	Pontoons	193	6		4				Pontoons	4	194	Pontoons	4	194	Pontoons	4	196	Pontoons	4	193
4619	pool	194	6		4				pool	4	195	pool	4	195	pool	4	197	pool	4	194
4620	poorhead	195	6		3				poorbead	1	196	poorhead	3	196	poorhead	3	198	poorhead	3	195
4621	popedom	196	6		4				popedom	4	197	popedom	4	197	popedom	4	199	popedom	4	196
4622	poplar-lutestring	197	6		4				poplar-lutestring	4	198	poplar-lutestring	4	198	poplar-lutestring	4	200	poplar-lutestring	4	197
4623	populace	198	6		4				populace	4	199	populace	4	199	populace	4	201	populace	4	198
4624	Populus	199	6		4				Populus	4	200	Populus	4	200	Populus	4	202	Populus	4	199
4625	porcelain	200	6		4				porcelain	4	201	porcelain	4	201	porcelain	4	203	porcelain	4	200
4626	porcupine	201	6		4				porcupine	4	202	porcupine	4	202	porcupine	4	204	porcupine	4	201
4627	pork	202	6		3				pork	3	203	pork	3	203	I	1	205	pork	3	202
4628	porphyritic	203	6		2	weak			I'ori'hyrilic	1	204	this	1	204	porphyritic	2	206	porphyritic	2	203
4629	porridge	204	6		3				porridge	3	205	porridge	3	205	porridge	3	207	and	1	204
4630	porta	205	6		3				lit	1	206	porta	3	206	porta	3	208	porta	3	205
4631	port-crayon	206	6		3				port-crayon	3	207	chalk	1	207	port-crayon	3	209	port-crayon	3	206
4632	porterage	207	6		3				porterage	3	208	porterage	3	208	portmanteati	1	210	porterage	3	207
4633	portmanteau	208	6		3				portmanteau	3	209	portmanteau	3	209	I	1	211	portmanteau	3	208
4634	portugue	209	6		4				portugue	4	210	portugue	4	210	portugue	4	212	portugue	4	209
4635	Poseideon	210	6		2	weak			Poseideon	2	211	Poseideon	2	211	Poseideott	1	213	Foseideon	1	210
4636	positive	211	6		4				positive	4	212	positive	4	212	positive	4	214	positive	4	211
4637	possess	212	6		3				possess	3	213	possess	3	213	possess	3	215	they	1	212
4638	posset	213	6		3				posset	3	214	posset	3	214	means	1	216	posset	3	213
4639	post	214	6		4				post	4	215	post	4	215	post	4	217	post	4	214
4640	postaxial	215	6		2	weak			postazial	1	216	postaxlal	1	216	postaxial	2	218	postaxial	2	215
4641	posterior	216	6		4				posterior	4	217	posterior	4	217	posterior	4	219	posterior	4	216
4642	postgraduate	217	6		4				postgraduate	4	218	postgraduate	4	218	postgraduate	4	220	postgraduate	4	217
4643	postle	218	6		3				postle	3	219	postle	3	219	SaSieth	1	221	postle	3	218
4644	post-oak	219	6		4				post-oak	4	220	post-oak	4	220	post-oak	4	222	post-oak	4	219
4645	postpredicament	220	6		4				postpredicament	4	221	postpredicament	4	221	postpredicament	4	223	postpredicament	4	220
4646	postulate	221	6		4				postulate	4	222	postulate	4	222	postulate	4	224	postulate	4	221
4647	pot	222	6		4				pot	4	223	pot	4	223	pot	4	225	pot	4	222
4648	potamology	223	6		4				potamology	4	224	potamology	4	224	potamology	4	226	potamology	4	223
4649	potato	224	6		3				potato	3	225	potato	3	225	i	1	227	potato	3	224
4650	potence-file	225	6		3				potence-file	3	226	potence-file	3	226	potence-file	3	228	potence-flle	1	225
4651	potentiality	226	6		4				potentiality	4	227	potentiality	4	227	potentiality	4	229	potentiality	4	226
4652	potgnn	227	6		1	tie			potgTin	1	228	potgnn	1	228	potgtm	1	230	potgim	1	227
4653	potometer	228	6		4				potometer	4	229	potometer	4	229	potometer	4	231	potometer	4	228
4654	pottery	229	6		4				pottery	4	230	pottery	4	230	pottery	4	232	pottery	4	229
4655	pottle-bottle	230	6		4				pottle-bottle	4	231	pottle-bottle	4	231	pottle-bottle	4	233	pottle-bottle	4	230
4656	pouffe	231	6		3				pouffe	3	232	pouffe	3	232	potiffe	1	234	pouffe	3	231
4657	pounce	232	6		3				pounce	3	233	transferring	1	233	pounce	3	235	pounce	3	232
4658	pound	233	6		4				pound	4	234	pound	4	234	pound	4	236	pound	4	233
4659	poundrel	234	6		1	tie			poimdrel	1	235	poundrel	1	235	i	1	237	potmdrel	1	234
4660	poussette	235	6		3				poussette	3	236	poussette	3	236	poussette	3	238	poassette	1	235
4661	poverty-weed	236	6		4				poverty-weed	4	237	poverty-weed	4	237	poverty-weed	4	239	poverty-weed	4	236
4662	powder-gun	237	6		3				powder-gim	1	238	powder-gun	3	238	powder-gun	3	240	powder-gun	3	237
4663	power	238	6		4				power	4	239	power	4	239	power	4	241	power	4	238
4664	powste	239	6		4				powste	4	240	powste	4	240	powste	4	242	powste	4	239
4665	practical	240	6		4				practical	4	241	practical	4	241	practical	4	243	practical	4	240
4666	practise	241	6		3				practice	1	242	practise	3	242	practise	3	244	practise	3	241
4667	praemunire	242	6		3				praemunire	3	243	praemunire	3	243	praemunire	3	245	prsmunlre	1	242
4668	pragmatize	243	6		4				pragmatize	4	244	pragmatize	4	244	pragmatize	4	246	pragmatize	4	243
4669	praise	244	6		4				praise	4	245	praise	4	245	praise	4	247	praise	4	244
4670	prank	245	6		2	weak			make	1	246	prank	2	246	praiLk	1	248	prank	2	245
4671	prawn	246	6		4				prawn	4	247	prawn	4	247	prawn	4	249	prawn	4	246
4672	prayer	247	6		4				prayer	4	248	prayer	4	248	prayer	4	250	prayer	4	247
4673	preach	248	6		4				preach	4	249	preach	4	249	preach	4	251	preach	4	248
4674	preamble	249	6		4				preamble	4	250	preamble	4	250	preamble	4	252	preamble	4	249
4675	precariously	250	6		4				precariously	4	251	precariously	4	251	precariously	4	253	precariously	4	250
4676	precedented	251	6		4				precedented	4	252	precedented	4	252	precedented	4	254	precedented	4	251
4677	precinct	252	6		4				precinct	4	253	precinct	4	253	precinct	4	255	precinct	4	252
4678	precipitate	253	6		4				precipitate	4	254	precipitate	4	254	precipitate	4	256	precipitate	4	253
4679	precise	254	6		4				precise	4	255	precise	4	255	precise	4	257	precise	4	254
4680	precocious	255	6		3				precocious	3	256	precocious	3	256	precodons	1	258	precocious	3	255
4681	precordial	256	6		4				precordial	4	257	precordial	4	257	precordial	4	259	precordial	4	256
4682	predesign	257	6		4				predesign	4	258	predesign	4	258	predesign	4	260	predesign	4	257
4683	predicable	258	6		4				predicable	4	259	predicable	4	259	predicable	4	261	predicable	4	258
4684	predictively	259	6		4				predictively	4	260	predictively	4	260	predictively	4	262	predictively	4	259
4685	preeminence	260	6		3				preeminence	3	261	preeminence	3	261	preSminence	1	263	preeminence	3	260
4686	preface	261	6		3				preface	3	262	preface	3	262	city	1	264	preface	3	261
4687	preference	262	6		4				preference	4	263	preference	4	263	preference	4	265	preference	4	262
4688	prefrontal	263	6		3				prefrontal	3	264	prefrontal	3	264	prefrontal	3	266	prefirontal	1	263
4689	prehension	264	6		4				prehension	4	265	prehension	4	265	prehension	4	267	prehension	4	264
4690	prejudice	265	6		4				prejudice	4	266	prejudice	4	266	prejudice	4	268	prejudice	4	265
4691	prelector	266	6		4				prelector	4	267	prelector	4	267	prelector	4	269	prelector	4	266
4692	premeditate	267	6		4				premeditate	4	268	premeditate	4	268	premeditate	4	270	premeditate	4	267
4693	premium	268	6		3				premium	3	269	premium	3	269	piemlnm	1	271	premium	3	268
4694	prenatally	269	6		4				prenatally	4	270	prenatally	4	270	prenatally	4	272	prenatally	4	269
4695	preoral	270	6		4				preoral	4	271	preoral	4	271	preoral	4	273	preoral	4	270
4696	prepare	271	6		4				prepare	4	272	prepare	4	272	prepare	4	274	prepare	4	271
4697	preponderate	272	6		3				preponderate	3	273	preponderate	3	273	I	1	275	preponderate	3	272
4698	prepotent	273	6		4				prepotent	4	274	prepotent	4	274	prepotent	4	276	prepotent	4	273
4699	prerogative	274	6		4				prerogative	4	275	prerogative	4	275	prerogative	4	277	prerogative	4	274
4700	presbyterated	275	6		4				presbyterated	4	276	presbyterated	4	276	presbyterated	4	278	presbyterated	4	275
4701	prescind	276	6		4				prescind	4	277	prescind	4	277	prescind	4	279	prescind	4	276
4702	presence	277	6		4				presence	4	278	presence	4	278	presence	4	280	presence	4	277
4703	present	278	6		3				present	3	279	present	3	279	inresent	1	281	present	3	278
4704	presentation	279	6		4				presentation	4	280	presentation	4	280	presentation	4	282	presentation	4	279
4705	preservation	280	6		4				preservation	4	281	preservation	4	281	preservation	4	283	preservation	4	280
4706	president	281	6		4				president	4	282	president	4	282	president	4	284	president	4	281
4707	press	282	6		4				press	4	283	press	4	283	press	4	285	press	4	282
