page	entries	image	volume	frequency	check	books	accuracy	centurydictio04whit_djvu.csv	frequency	image	centurydictiona04whit_djvu.csv	frequency	image	centurydictionar04whit_djvu.csv	frequency	image	centurydictionar04whituoft_djvu.csv	frequency	image	centurydictionary04whit_djvu.csv	frequency	image	cu31924091890610_djvu.csv	frequency	image
2689	half-spade	31	4	6				half-spade	6	31	half-spade	6	31	half-spade	6	31	half-spade	6	33	half-spade	6	31	half-spade	6	30
2690	halidom	32	4	6				halidom	6	32	halidom	6	32	halidom	6	32	halidom	6	34	halidom	6	32	halidom	6	31
2691	hall	33	4	6				hall	6	33	hall	6	33	hall	6	33	hall	6	35	hall	6	33	hall	6	32
2692	hallo	34	4	6				hallo	6	34	hallo	6	34	hallo	6	34	hallo	6	36	hallo	6	34	hallo	6	33
2693	halmalille	35	4	5				halmalille	5	35	halmalille	5	35	halmalille	5	35	halmalille	5	37	halmalille	5	35	balmalille	1	34
2694	halse	36	4	5				balse	1	36	halse	5	36	halse	5	36	halse	5	38	halse	5	36	halse	5	35
2695	halve	37	4	6				halve	6	37	halve	6	37	halve	6	37	halve	6	39	halve	6	37	halve	6	36
2696	hamate	38	4	6				hamate	6	38	hamate	6	38	hamate	6	38	hamate	6	40	hamate	6	38	hamate	6	37
2697	hamlet	39	4	6				hamlet	6	39	hamlet	6	39	hamlet	6	39	hamlet	6	41	hamlet	6	39	hamlet	6	38
2698	hammer-beam	40	4	5				hammer-beam	5	40	hammer-'beam	1	40	hammer-beam	5	40	hammer-beam	5	42	hammer-beam	5	40	hammer-beam	5	39
2699	hamper	41	4	5				bamper	1	41	hamper	5	41	hamper	5	41	hamper	5	43	hamper	5	41	hamper	5	40
2700	hand	42	4	3	weak			haud	1	42	hand	3	42	hand	3	42	Bones	2	44	Bones	2	42	hand	3	41
2701	hand	43	4	6				hand	6	43	hand	6	43	hand	6	43	hand	6	45	hand	6	43	hand	6	42
2702	hand	44	4	6				hand	6	44	hand	6	44	hand	6	44	hand	6	46	hand	6	44	hand	6	43
2703	handcops	45	4	5				handcops	5	45	handcops	5	45	handcops	5	45	bandcops	1	47	handcops	5	45	handcops	5	44
2704	hand-grip	46	4	5				hand-grip	5	46	hand-grip	5	46	Ttio	1	46	hand-grip	5	48	hand-grip	5	46	hand-grip	5	45
2705	handle	47	4	5				handle	5	47	handle	5	47	handle	5	47	was	1	49	handle	5	47	handle	5	46
2706	hand-mill	48	4	5				hand-mill	5	48	hand-mill	5	48	hand-miU	1	48	hand-mill	5	50	hand-mill	5	48	hand-mill	5	47
2707	handsome	49	4	6				handsome	6	49	handsome	6	49	handsome	6	49	handsome	6	51	handsome	6	49	handsome	6	48
2708	handybook	50	4	4				handybook	4	50	handybook	4	50	bandy	1	50	handybook	4	52	handy	1	50	handybook	4	49
2709	hang	51	4	6				hang	6	51	hang	6	51	hang	6	51	hang	6	53	hang	6	51	hang	6	50
2710	hanging	52	4	5				hanging	5	52	hanging	5	52	I	1	52	hanging	5	54	hanging	5	52	hanging	5	51
2711	Hanoverian	53	4	6				Hanoverian	6	53	Hanoverian	6	53	Hanoverian	6	53	Hanoverian	6	55	Hanoverian	6	53	Hanoverian	6	52
2712	haplite	54	4	6				haplite	6	54	haplite	6	54	haplite	6	54	haplite	6	56	haplite	6	54	haplite	6	53
2713	haply	55	4	5				haply	5	55	haply	5	55	haply	5	55	haply	5	57	liaply	1	55	haply	5	54
2714	happy-go-lucky	56	4	5				happy-go-lucky	5	56	tappy-go-lucky	1	56	happy-go-lucky	5	56	happy-go-lucky	5	58	happy-go-lucky	5	56	happy-go-lucky	5	55
2715	harbor	57	4	6				harbor	6	57	harbor	6	57	harbor	6	57	harbor	6	59	harbor	6	57	harbor	6	56
2716	hard	58	4	5				hard	5	58	hard	5	58	bard	1	58	hard	5	60	hard	5	58	hard	5	57
2717	hard	59	4	5				hard	5	59	hard	5	59	ililv	1	59	hard	5	61	hard	5	59	hard	5	58
2718	Hardhead	60	4	3	weak			Hardhcid	1	60	Hardhead	3	60	hardhead	2	60	hardhead	2	62	Hardhead	3	60	Hardhead	3	59
2719	hardness	61	4	3	weak			Hard	2	61	HanUreatment	1	61	hardness	3	61	hardness	3	63	Hard	2	61	hardness	3	60
2720	hare	62	4	5				hare	5	62	hare	5	62	hare	5	62	hare	5	64	or	1	62	hare	5	61
2721	Haricot	63	4	6				Haricot	6	63	Haricot	6	63	Haricot	6	63	Haricot	6	65	Haricot	6	63	Haricot	6	62
2722	harlequin	64	4	5				harlequin	5	64	harlequin	5	64	harlequin	5	64	harlequin	5	66	harleqviin	1	64	harlequin	5	63
2723	harmonic	65	4	5				harmonic	5	65	harmonic	5	65	harmonic	5	65	harmonic	5	67	harmonic	5	65	barmonic	1	64
2724	harmonious	66	4	4				harmonious	4	66	harmonious	4	66	harmonions	1	66	harmonious	4	68	harmonious	4	66	harmonioas	1	65
2725	harmony	67	4	6				harmony	6	67	harmony	6	67	harmony	6	67	harmony	6	69	harmony	6	67	harmony	6	66
2726	harp	68	4	6				harp	6	68	harp	6	68	harp	6	68	harp	6	70	harp	6	68	harp	6	67
2727	harping	69	4	6				harping	6	69	harping	6	69	harping	6	69	harping	6	71	harping	6	69	harping	6	68
2728	Harpulliese	70	4	3	weak			Harpullieae	2	70	Harpulliese	3	70	Harpulliex	1	70	Harpulliese	3	72	Harpullieae	2	70	Harpulliese	3	69
2729	Common	71	4	4				Common	4	71	Harrington	2	71	Common	4	71	Harrington	2	73	Common	4	71	Common	4	70
2730	harshly	72	4	6				harshly	6	72	harshly	6	72	harshly	6	72	harshly	6	74	harshly	6	72	harshly	6	71
2731	harvest	73	4	6				harvest	6	73	harvest	6	73	harvest	6	73	harvest	6	75	harvest	6	73	harvest	6	72
2732	hash	74	4	5				hash	5	74	Icannatliole	1	74	hash	5	74	hash	5	76	hash	5	74	hash	5	73
2733	hasteler	75	4	6				hasteler	6	75	hasteler	6	75	hasteler	6	75	hasteler	6	77	hasteler	6	75	hasteler	6	74
2734	hat	76	4	6				hat	6	76	hat	6	76	hat	6	76	hat	6	78	hat	6	76	hat	6	75
2735	hatch	77	4	6				hatch	6	77	hatch	6	77	hatch	6	77	hatch	6	79	hatch	6	77	hatch	6	76
2736	hate	78	4	6				hate	6	78	hate	6	78	hate	6	78	hate	6	80	hate	6	78	hate	6	77
2737	haubergeon	79	4	2	tie			haubergeon	2	79	and	2	79	m-	1	79	xath	1	81	and	2	79	haubergeon	2	78
2738	Haunches	80	4	4				Haunches	4	80	Haunches	4	80	hault	1	80	Haunches	4	82	Haunches	4	80	hamt	1	79
2739	haustellum	81	4	6				haustellum	6	81	haustellum	6	81	haustellum	6	81	haustellum	6	83	haustellum	6	81	haustellum	6	80
2740	have	82	4	6				have	6	82	have	6	82	have	6	82	have	6	84	have	6	82	have	6	81
2741	haven	83	4	5				haven	5	83	baven	1	83	haven	5	83	haven	5	85	haven	5	83	haven	5	82
2742	haw	84	4	4				haw	4	84	haw	4	84	of	1	84	haw	4	86	haw	4	84	baw	1	83
2743	hawk-billed	85	4	6				hawk-billed	6	85	hawk-billed	6	85	hawk-billed	6	85	hawk-billed	6	87	hawk-billed	6	85	hawk-billed	6	84
2744	hawse-bag	86	4	6				hawse-bag	6	86	hawse-bag	6	86	hawse-bag	6	86	hawse-bag	6	88	hawse-bag	6	86	hawse-bag	6	85
2745	haydenite	87	4	5				haydenite	5	87	haydenite	5	87	le	1	87	haydenite	5	89	haydenite	5	87	haydenite	5	86
2746	hazard	88	4	4				liazard	1	88	hazard	4	88	hazard	4	88	hazard	4	90	To	1	88	hazard	4	87
2747	hazelnut	89	4	6				hazelnut	6	89	hazelnut	6	89	hazelnut	6	89	hazelnut	6	91	hazelnut	6	89	hazelnut	6	88
2748	he	90	4	6				he	6	90	he	6	90	he	6	90	he	6	92	he	6	90	he	6	89
2749	head	91	4	6				head	6	91	head	6	91	head	6	91	head	6	93	head	6	91	head	6	90
2750	head	92	4	6				head	6	92	head	6	92	head	6	92	head	6	94	head	6	92	head	6	91
2751	headily	93	4	6				headily	6	93	headily	6	93	headily	6	93	headily	6	95	headily	6	93	headily	6	92
2752	head-molding	94	4	6				head-molding	6	94	head-molding	6	94	head-molding	6	94	head-molding	6	96	head-molding	6	94	head-molding	6	93
2753	head-word	95	4	5				head-word	5	95	head-word	5	95	head-word	5	95	head-	1	97	head-word	5	95	head-word	5	94
2754	health	96	4	6				health	6	96	health	6	96	health	6	96	health	6	98	health	6	96	health	6	95
2755	hear	97	4	6				hear	6	97	hear	6	97	hear	6	97	hear	6	99	hear	6	97	hear	6	96
2756	heart	98	4	3	weak			beart	1	98	heart	3	98	bliMMl	1	98	heart	3	100	heart	3	98	lieart	1	97
2757	heart	99	4	4				heart	4	99	heart	4	99	heart	4	99	heart	4	101	heart'	1	99	beart	1	98
2758	hearth	100	4	6				hearth	6	100	hearth	6	100	hearth	6	100	hearth	6	102	hearth	6	100	hearth	6	99
2759	heart-shaped	101	4	4				heart-shaped	4	101	Heart-shaped	2	101	heart-shaped	4	101	heart-shaped	4	103	heart-shaped	4	101	Heart-shaped	2	100
2760	heat	102	4	6				heat	6	102	heat	6	102	heat	6	102	heat	6	104	heat	6	102	heat	6	101
2761	heathen	103	4	6				heathen	6	103	heathen	6	103	heathen	6	103	heathen	6	105	heathen	6	103	heathen	6	102
2762	heating	104	4	6				heating	6	104	heating	6	104	heating	6	104	heating	6	106	heating	6	104	heating	6	103
2763	heave	105	4	6				heave	6	105	heave	6	105	heave	6	105	heave	6	107	heave	6	105	heave	6	104
2764	heaves	106	4	6				heaves	6	106	heaves	6	106	heaves	6	106	heaves	6	108	heaves	6	106	heaves	6	105
2765	hebdomad	107	4	6				hebdomad	6	107	hebdomad	6	107	hebdomad	6	107	hebdomad	6	109	hebdomad	6	107	hebdomad	6	106
2766	Hebraize	108	4	6				Hebraize	6	108	Hebraize	6	108	Hebraize	6	108	Hebraize	6	110	Hebraize	6	108	Hebraize	6	107
2767	heckle	109	4	6				heckle	6	109	heckle	6	109	heckle	6	109	heckle	6	111	heckle	6	109	heckle	6	108
2768	Hedera	110	4	6				Hedera	6	110	Hedera	6	110	Hedera	6	110	Hedera	6	112	Hedera	6	110	Hedera	6	109
2769	hedgehog-grass	111	4	6				hedgehog-grass	6	111	hedgehog-grass	6	111	hedgehog-grass	6	111	hedgehog-grass	6	113	hedgehog-grass	6	111	hedgehog-grass	6	110
2770	Hedycarya	112	4	6				Hedycarya	6	112	Hedycarya	6	112	Hedycarya	6	112	Hedycarya	6	114	Hedycarya	6	112	Hedycarya	6	111
2771	heel	113	4	4				heel	4	113	beel	1	113	heel	4	113	heel	4	115	heel	4	113	Heel	1	112
2772	heel-seat	114	4	6				heel-seat	6	114	heel-seat	6	114	heel-seat	6	114	heel-seat	6	116	heel-seat	6	114	heel-seat	6	113
2773	heigh	115	4	6				heigh	6	115	heigh	6	115	heigh	6	115	heigh	6	117	heigh	6	115	heigh	6	114
2774	heir	116	4	6				heir	6	116	heir	6	116	heir	6	116	heir	6	118	heir	6	116	heir	6	115
2775	helianthin	117	4	5				helianthin	5	117	helianthin	5	117	helianthin	5	117	helianthin	5	119	helianthin	5	117	heliauthin	1	116
2776	Heliconiinse	118	4	2	weak			Heliconiinx	1	118	Heliconiinse	2	118	Heliconiinn	1	118	Heliconiinae	1	120	Heliconiinse	2	118	Heliconiinee	1	117
2777	Heliophila	119	4	2	weak			Eeliophila	1	119	HeliopUla	1	119	HeliopMIa	1	119	Heliophila	2	121	Heliophila	2	119	HeliopMla	1	118
2778	heliotropism	120	4	5				heliotropism	5	120	heliotropism	5	120	heliotropiHin	1	120	heliotropism	5	122	heliotropism	5	120	heliotropism	5	119
2779	hell-bale	121	4	6				hell-bale	6	121	hell-bale	6	121	hell-bale	6	121	hell-bale	6	123	hell-bale	6	121	hell-bale	6	120
2780	Hellenist	122	4	6				Hellenist	6	122	Hellenist	6	122	Hellenist	6	122	Hellenist	6	124	Hellenist	6	122	Hellenist	6	121
2781	helm	123	4	6				helm	6	123	helm	6	123	helm	6	123	helm	6	125	helm	6	123	helm	6	122
2782	helminthic	124	4	5				helminthic	5	124	helminthic	5	124	helminthic	5	124	helminthic	5	126	helmintliic	1	124	helminthic	5	123
2783	Helostoma	125	4	6				Helostoma	6	125	Helostoma	6	125	Helostoma	6	125	Helostoma	6	127	Helostoma	6	125	Helostoma	6	124
2784	helpful	126	4	6				helpful	6	126	helpful	6	126	helpful	6	126	helpful	6	128	helpful	6	126	helpful	6	125
2785	hem	127	4	6				hem	6	127	hem	6	127	hem	6	127	hem	6	129	hem	6	127	hem	6	126
2786	hematite	128	4	6				hematite	6	128	hematite	6	128	hematite	6	128	hematite	6	130	hematite	6	128	hematite	6	127
2787	Hemerobiidae	129	4	4				Hemerobiidae	4	129	Hemerobiidse	2	129	Hemerobiidae	4	129	Hemerobiidae	4	131	Hemerobiidae	4	129	Hemerobiidse	2	128
2788	Hemidactylus	130	4	5				Hemidactylus	5	130	Hemidactylus	5	130	Hemidactylus	5	130	j	1	132	Hemidactylus	5	130	Hemidactylus	5	129
2789	hemiolia	131	4	5				hemiolia	5	131	hemiolia	5	131	henuolia	1	131	hemiolia	5	133	hemiolia	5	131	hemiolia	5	130
2790	hemisphere	132	4	4				hemisphere	4	132	bemiBphere	1	132	taemisphere	1	132	hemisphere	4	134	hemisphere	4	132	hemisphere	4	131
2791	hemoglobinemia	133	4	6				hemoglobinemia	6	133	hemoglobinemia	6	133	hemoglobinemia	6	133	hemoglobinemia	6	135	hemoglobinemia	6	133	hemoglobinemia	6	132
2792	hemp-resin	134	4	4				hemp-resin	4	134	hemp-resin	4	134	hemp-resLn	1	134	hemp-resin	4	136	hemp-resln	1	134	hemp-resin	4	133
2793	henceforward	135	4	6				henceforward	6	135	henceforward	6	135	henceforward	6	135	henceforward	6	137	henceforward	6	135	henceforward	6	134
2794	bendy	136	4	5				bendy	5	136	bendy	5	136	bendy	5	136	hendy	1	138	bendy	5	136	bendy	5	135
2795	Henslowieae	137	4	4				Henslowiese	1	137	Henslowieae	4	137	Henslowieae	4	137	Henslowieae	4	139	Henslowieae	4	137	Henslo'wiese	1	136
2796	hepatorrhea	138	4	3	weak			heptaspermous	1	138	hepatorrhea	3	138	hepatorrhea	3	138	hepatorrhea	3	140	tho	1	138	as	1	137
2797	heptastich	139	4	6				heptastich	6	139	heptastich	6	139	heptastich	6	139	heptastich	6	141	heptastich	6	139	heptastich	6	138
2798	herald	140	4	6				herald	6	140	herald	6	140	herald	6	140	herald	6	142	herald	6	140	herald	6	139
2799	herbary	141	4	6				herbary	6	141	herbary	6	141	herbary	6	141	herbary	6	143	herbary	6	141	herbary	6	140
2800	herby	142	4	3	weak			herty	2	142	herby	3	142	IVr-	1	142	herby	3	144	herby	3	142	herty	2	141
2801	herd	143	4	6				herd	6	143	herd	6	143	herd	6	143	herd	6	145	herd	6	143	herd	6	142
2802	hereafter	144	4	5				hereafter	5	144	hereafter	5	144	An	1	144	hereafter	5	146	hereafter	5	144	hereafter	5	143
2803	herein	145	4	6				herein	6	145	herein	6	145	herein	6	145	herein	6	147	herein	6	145	herein	6	144
2804	heretofom	146	4	3	weak			heretofom	3	146	heretofom	3	146	heretoforn	2	146	heretoforn	2	148	heretofom	3	146	beretoforn	1	145
2805	hermandad	147	4	5				hermandad	5	147	hermandad	5	147	hermandad	5	147	hermandad	5	149	hennandad	1	147	hermandad	5	146
2806	Hermetic	148	4	5				Hermetic	5	148	Hermetic	5	148	BteBMtle	1	148	Hermetic	5	150	Hermetic	5	148	Hermetic	5	147
2807	Hernandia	149	4	3	weak			Hernandia	3	149	Hernandia	3	149	Hemandla	1	149	Hernandia	3	151	Eernandia	1	149	Hernaudia	1	148
2808	heroic	150	4	6				heroic	6	150	heroic	6	150	heroic	6	150	heroic	6	152	heroic	6	150	heroic	6	149
2809	Herpestinse	151	4	4				Herpestinse	4	151	Herpestinae	2	151	Herpestinse	4	151	Herpestinae	2	153	Herpestinse	4	151	Herpestinse	4	150
2810	herring-buss	152	4	4				herring-buss	4	152	herring-buss	4	152	henlng-buM	1	152	herring-buss	4	154	berring-buss	1	152	herring-buss	4	151
2811	hesitant	153	4	5				hesitant	5	153	hesitant	5	153	hesitant	5	153	hesitant	5	155	hesitant	5	153	liesitant	1	152
2812	Hesperus	154	4	5				Hesperus	5	154	Hesperus	5	154	HMpenii	1	154	Hesperus	5	156	Hesperus	5	154	Hesperus	5	153
2813	hetero-	155	4	6				hetero-	6	155	hetero-	6	155	hetero-	6	155	hetero-	6	157	hetero-	6	155	hetero-	6	154
2814	Heterodon	156	4	4				Heterodon	4	156	Eeterodon	1	156	a-	1	156	Heterodon	4	158	Heterodon	4	156	Heterodon	4	155
2815	heterogenous	157	4	3	tie			heterogenous	3	157	heterogonous	3	157	heterogonous	3	157	heterogenous	3	159	heterogenous	3	157	heterogonous	3	156
2816	heteronomic	158	4	5				heteronomic	5	158	heteronomic	5	158	heteroptics	1	158	heteronomic	5	160	heteronomic	5	158	heteronomic	5	157
2817	heteroptoton	159	4	6				heteroptoton	6	159	heteroptoton	6	159	heteroptoton	6	159	heteroptoton	6	161	heteroptoton	6	159	heteroptoton	6	158
2818	heterotrophy	160	4	3	weak			heterotropliy	1	160	heterotrophy	3	160	heterotropby	1	160	heterotrophy	3	162	ilcr	1	160	heterotrophy	3	159
2819	hewgag	161	4	6				hewgag	6	161	hewgag	6	161	hewgag	6	161	hewgag	6	163	hewgag	6	161	hewgag	6	160
2820	hexakisoctahedron	162	4	4				hexakisoctahedron	4	162	hexakisoctahedron	4	162	hexakisoctahedron	4	162	hexakisoctahedron	4	164	hezakisoctahedron	2	162	hezakisoctahedron	2	161
2821	hexastyle	163	4	3	weak			hexastyle	3	163	hexastyle	3	163	Hexastyle	1	163	hexastyle	3	165	t-	1	163	liezastyle	1	162
2822	hibernaculum	164	4	3	weak			lubernaculum	1	164	hibernaculum	3	164	hltMmarulum	1	164	hibernaculum	3	166	hibernaculum	3	164	Mbernaculum	1	163
2823	Branch	165	4	2	weak			Branch	2	165	Branch	2	165	hickock	1	165	Flowering	1	167	FIowerinE	1	165	Mckock	1	164
2824	hide	166	4	3	weak			bide	1	166	Iiide	1	166	hide	3	166	hide	3	168	Ude	1	166	hide	3	165
2825	hiemation	167	4	4				hiemation	4	167	hiemation	4	167	hiemation	4	167	hiemation	4	169	and	1	167	bien	1	166
2826	from	168	4	2	weak			from	2	168	Cfi	1	168	hlerocracy	1	168	en	1	170	from	2	168	L'f	1	167
2827	hierurgy	169	4	5				hierurgy	5	169	hierurgy	5	169	hierurgy	5	169	hierurgy	5	171	hierurgy	5	169	Merurgy	1	168
2828	high	170	4	5				high	5	170	high	5	170	high	5	170	high	5	172	high	5	170	higli	1	169
2829	highfalutin	171	4	6				highfalutin	6	171	highfalutin	6	171	highfalutin	6	171	highfalutin	6	173	highfalutin	6	171	highfalutin	6	170
2830	high-placed	172	4	5				high-placed	5	172	high-placed	5	172	high-pUced	1	172	high-placed	5	174	high-placed	5	172	high-placed	5	171
2831	hilarious	173	4	3	weak			Ularious	1	173	Mlarious	1	173	hilarious	3	173	hilarious	3	175	hilarious	3	173	order	1	172
2832	hillier	174	4	4				hillier	4	174	hillier	4	174	hilUer	1	174	hillier	4	176	hillier	4	174	Mllier	1	173
2833	himpne	175	4	6				himpne	6	175	himpne	6	175	himpne	6	175	himpne	6	177	himpne	6	175	himpne	6	174
2834	hindhead	176	4	4				hindhead	4	176	hindhead	4	176	ir	1	176	hindhead	4	178	hindhead	4	176	Mndhead	1	175
2835	hinoid	177	4	6				hinoid	6	177	hinoid	6	177	hinoid	6	177	hinoid	6	179	hinoid	6	177	hinoid	6	176
2836	Hippeastnim	178	4	2	tie			Hippeastrum	2	178	Hippeastrmn	1	178	HippeMtnim	1	178	Hippeastnim	2	180	Hippeastrum	2	178	Hippeastnim	2	177
2837	Hippocratic	179	4	5				Hippocratic	5	179	Hippocratic	5	179	Hippocratic	5	179	Hippocratic	5	181	Hlppocratlc	1	179	Hippocratic	5	178
2838	hippophile	180	4	5				hippophile	5	180	hippophile	5	180	hippophile	5	180	hippophile	5	182	hlppophlle	1	180	hippophile	5	179
2839	hip-shot	181	4	6				hip-shot	6	181	hip-shot	6	181	hip-shot	6	181	hip-shot	6	183	hip-shot	6	181	hip-shot	6	180
2840	hirmologion	182	4	2	weak			hirniologion	1	182	birmologion	1	182	hinnologion	1	182	hirmologion	2	184	hirmologion	2	182	hinuologion	1	181
2841	Hispinse	183	4	2	tie			Hispinx	1	183	Hispinse	2	183	Hispins	2	183	Hispinse	2	185	Hispinae	1	183	Hispins	2	182
2842	histomorphology	184	4	3	weak			histomorphology	3	184	Mstomorphology	2	184	Uftomorphology	1	184	histomorphology	3	186	Mstomorphology	2	184	histomorphology	3	183
2843	history	185	4	5				history-	1	185	history	5	185	history	5	185	history	5	187	history	5	185	history	5	184
2844	hit	186	4	6				hit	6	186	hit	6	186	hit	6	186	hit	6	188	hit	6	186	hit	6	185
2845	hitherward	187	4	6				hitherward	6	187	hitherward	6	187	hitherward	6	187	hitherward	6	189	hitherward	6	187	hitherward	6	186
2846	hoar	188	4	5				boar	1	188	hoar	5	188	hoar	5	188	hoar	5	190	hoar	5	188	hoar	5	187
2847	hoary	189	4	6				hoary	6	189	hoary	6	189	hoary	6	189	hoary	6	191	hoary	6	189	hoary	6	188
2848	hobbler	190	4	6				hobbler	6	190	hobbler	6	190	hobbler	6	190	hobbler	6	192	hobbler	6	190	hobbler	6	189
2849	hock	191	4	4				hock	4	191	Jilt	1	191	hock	4	191	Front	1	193	hock	4	191	hock	4	190
2850	hodden	192	4	6				hodden	6	192	hodden	6	192	hodden	6	192	hodden	6	194	hodden	6	192	hodden	6	191
2851	Hoffmannite	193	4	4				Hoffmannite	4	193	Hoffmannite	4	193	HoSmannite	1	193	Hoffmannite	4	195	Hofimannite	1	193	Hoffmannite	4	192
2852	hogger	194	4	4				ers	1	194	hogger	4	194	hogger	4	194	hogger	4	196	Logger	1	194	hogger	4	193
2853	hogshead	195	4	6				hogshead	6	195	hogshead	6	195	hogshead	6	195	hogshead	6	197	hogshead	6	195	hogshead	6	194
2854	holaspidean	196	4	3	weak			holaspidean	3	196	liolaspidean	1	196	holaspidean	3	196	iiolaspidean	1	198	holaspidean	3	196	bolaspidean	1	195
2855	hold	197	4	5				hold	5	197	hold	5	197	hold	5	197	hold	5	199	bold	1	197	hold	5	196
2856	holde	198	4	4				holde	4	198	holde	4	198	bolde	1	198	holde	4	200	holdc	1	198	holde	4	197
2857	holethnos	199	4	6				holethnos	6	199	holethnos	6	199	holethnos	6	199	holethnos	6	201	holethnos	6	199	holethnos	6	198
2858	hollo	200	4	5				hollo	5	200	hollo	5	200	hollo	5	200	hollo	5	202	bollo	1	200	hollo	5	199
2859	holly	201	4	6				holly	6	201	holly	6	201	holly	6	201	holly	6	203	holly	6	201	holly	6	200
2860	holograph	202	4	4				hologiaph	1	202	holograph	4	202	-0	1	202	holograph	4	204	holograph	4	202	holograph	4	201
2861	Holosteum	203	4	4				Holosteum	4	203	Holosteuin	2	203	Holosteum	4	203	Holosteum	4	205	Holosteum	4	203	Holosteuin	2	202
2862	holus-bolus	204	4	4				holus-bolus	4	204	holus-bolus	4	204	holas-boltu	1	204	holus-bolus	4	206	bolus-bolus	1	204	holus-bolus	4	203
2863	Homalium	205	4	3	weak			Homalium	3	205	Homaliunt	1	205	MamatiufH	1	205	Homalium	3	207	Homalium	3	205	ffomalium	1	204
2864	home	206	4	6				home	6	206	home	6	206	home	6	206	home	6	208	home	6	206	home	6	205
2865	homer	207	4	5				liomer	1	207	homer	5	207	homer	5	207	homer	5	209	homer	5	207	homer	5	206
2866	homiculture	208	4	5				homiculture	5	208	homiculture	5	208	homicnltore	1	208	homiculture	5	210	homiculture	5	208	homiculture	5	207
2867	Homochelae	209	4	4				Homochelae	4	209	Homochelje	1	209	Homochelse	1	209	Homochelae	4	211	Homochelae	4	209	Homochelae	4	208
2868	Homogenea	210	4	6				Homogenea	6	210	Homogenea	6	210	Homogenea	6	210	Homogenea	6	212	Homogenea	6	210	Homogenea	6	209
2869	homologue	211	4	4				homologue	4	211	homologue	4	211	homologue	4	211	homologue	4	213	homoloffue	1	211	boniologne	1	210
2870	homophone	212	4	6				homophone	6	212	homophone	6	212	homophone	6	212	homophone	6	214	homophone	6	212	homophone	6	211
2871	homotypal	213	4	2	tie			homotjrpal	2	213	I	1	213	homotypal	2	213	homotypal	2	215	homotjrpal	2	213	bomotypal	1	212
2872	honesty	214	4	6				honesty	6	214	honesty	6	214	honesty	6	214	honesty	6	216	honesty	6	214	honesty	6	213
2873	honeycomb	215	4	6				honeycomb	6	215	honeycomb	6	215	honeycomb	6	215	honeycomb	6	217	honeycomb	6	215	honeycomb	6	214
